"Name","PolicyType","Mode","DisplayName","Description","Parameters","PolicyRuleIf","PolicyRuleThen"
"Deny-Storage-NetworkAclsBypass","Custom","All","Network ACL bypass option should be restricted for Storage Accounts","Azure Storage accounts should restrict the bypass option for service-level network ACLs. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
allowedBypassOptions.type=Array;
allowedBypassOptions.metadata.displayName=Allowed Bypass Options;
allowedBypassOptions.metadata.description=Specifies which options are allowed to bypass the vnet configuration;
allowedBypassOptions.allowedValues=None Logging Metrics AzureServices Logging, Metrics Logging, AzureServices Metrics, AzureServices Logging, Metrics, AzureServices Logging, Metrics, AzureServices;
allowedBypassOptions.defaultValue=Logging Metrics AzureServices Logging, Metrics Logging, AzureServices Metrics, AzureServices Logging, Metrics, AzureServices Logging, Metrics, AzureServices","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-NetworkAclsVirtualNetworkRules","Custom","All","Virtual network rules should be restricted for Storage Accounts","Azure Storage accounts should restrict the virtual network service-level network ACLs. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-ResourceAccessRulesResourceId","Custom","All","Resource Access Rules resource IDs should be restricted for Storage Accounts","Azure Storage accounts should restrict the resource access rule for service-level network ACLs to services from a specific Azure subscription. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Delete-ExpressRoute-Gateways","Custom","Indexed","Deny resource deletion for ExpressRoute Gateways","This policy denies resource deletion for ExpressRoute Gateways.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-ResourceAccessRulesTenantId","Custom","All","Resource Access Rules Tenants should be restricted for Storage Accounts","Azure Storage accounts should restrict the resource access rule for service-level network ACLs to service from the same AAD tenant. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-ServicesEncryption","Custom","All","Encryption for storage services should be enforced for Storage Accounts","Azure Storage accounts should enforce encryption for all storage services. Enforce this for increased encryption scope.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-SFTP","Custom","Indexed","Storage Accounts with SFTP enabled should be denied","This policy denies the creation of Storage Accounts with SFTP enabled for Blob Storage.","effect.type=String;
effect.defaultValue=Deny;
effect.allowedValues=Audit Deny Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=The effect determines what happens when the policy rule is evaluated to match","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-StorageAccount-CustomDomain","Custom","All","Storage Accounts with custom domains assigned should be denied","This policy denies the creation of Storage Accounts with custom domains assigned as communication cannot be encrypted, and always uses HTTP.","effect.type=String;
effect.defaultValue=Deny;
effect.allowedValues=Audit Deny Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=The effect determines what happens when the policy rule is evaluated to match","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Subnet-Without-Nsg","Custom","All","Subnets should have a Network Security Group","This policy denies the creation of a subnet without a Network Security Group. NSG help to protect traffic across subnet-level.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
excludedSubnets.type=Array;
excludedSubnets.metadata.displayName=Excluded Subnets;
excludedSubnets.metadata.description=Array of subnet names that are excluded from this policy;
excludedSubnets.defaultValue=GatewaySubnet AzureFirewallSubnet AzureFirewallManagementSubnet","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Subnet-Without-Penp","Custom","All","Subnets without Private Endpoint Network Policies enabled should be denied","This policy denies the creation of a subnet without Private Endpoint Netwotk Policies enabled. This policy is intended for 'workload' subnets, not 'central infrastructure' (aka, 'hub') subnets.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=The effect determines what happens when the policy rule is evaluated to match;
excludedSubnets.type=Array;
excludedSubnets.metadata.displayName=Excluded Subnets;
excludedSubnets.metadata.description=Array of subnet names that are excluded from this policy;
excludedSubnets.defaultValue=GatewaySubnet AzureFirewallSubnet AzureFirewallManagementSubnet AzureBastionSubnet","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Subnet-Without-Udr","Custom","All","Subnets should have a User Defined Route","This policy denies the creation of a subnet without a User Defined Route (UDR).","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
excludedSubnets.type=Array;
excludedSubnets.metadata.displayName=Excluded Subnets;
excludedSubnets.metadata.description=Array of subnet names that are excluded from this policy;
excludedSubnets.defaultValue=AzureBastionSubnet","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-UDR-With-Specific-NextHop","Custom","All","User Defined Routes with 'Next Hop Type' set to 'Internet' or 'VirtualNetworkGateway' should be denied","This policy denies the creation of a User Defined Route with 'Next Hop Type' set to 'Internet' or 'VirtualNetworkGateway'.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=The effect determines what happens when the policy rule is evaluated to match;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
excludedDestinations.type=Array;
excludedDestinations.metadata.displayName=Excluded Destinations;
excludedDestinations.metadata.description=Array of route destinations that are to be denied;
excludedDestinations.defaultValue=Internet VirtualNetworkGateway","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-VNET-Peer-Cross-Sub","Custom","All","Deny vNet peering cross subscription.","This policy denies the creation of vNet Peerings outside of the same subscriptions under the assigned scope.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
allowedVnets.type=Array;
allowedVnets.metadata.displayName=Allowed vNets to peer with;
allowedVnets.metadata.description=Array of allowed vNets that can be peered with. Must be entered using their resource ID. Example: /subscriptions/{subId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworks/{vnetName};
allowedVnets.defaultValue=","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-VNET-Peering-To-Non-Approved-VNETs","Custom","All","Deny vNet peering to non-approved vNets","This policy denies the creation of vNet Peerings to non-approved vNets under the assigned scope.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
allowedVnets.type=Array;
allowedVnets.metadata.displayName=Allowed vNets to peer with;
allowedVnets.metadata.description=Array of allowed vNets that can be peered with. Must be entered using their resource ID. Example: /subscriptions/{subId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworks/{vnetName};
allowedVnets.defaultValue=","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Delete-Key-Vaults","Custom","Indexed","Deny resource deletion for Azure Key Vaults","This policy denies resource deletion for Azure Key Vaults.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-VNet-Peering","Custom","All","Deny vNet peering ","This policy denies the creation of vNet Peerings under the assigned scope.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","field=type;
equals=Microsoft.Network/virtualNetworks/virtualNetworkPeerings","field=type;
equals=Microsoft.Network/virtualNetworks/virtualNetworkPeerings"
"DenyAction-ActivityLogs","Custom","Indexed","DenyAction implementation on Activity Logs","This is a DenyAction implementation policy on Activity Logs.","","field=type;
equals=Microsoft.Resources/subscriptions/providers/diagnosticSettings","field=type;
equals=Microsoft.Resources/subscriptions/providers/diagnosticSettings"
"DenyAction-DeleteResources","Custom","All","Do not allow deletion of specified resource and resource type","This policy enables you to specify the resource and resource type that your organization can protect from accidentals deletion by blocking delete calls using the deny action effect.","resourceName.type=String;
resourceName.metadata.displayName=Resource Name;
resourceName.metadata.description=Provide the name of the resource that you want to protect from accidental deletion.;
resourceType.type=String;
resourceType.metadata.displayName=Resource Type;
resourceType.metadata.description=Provide the resource type that you want to protect from accidental deletion.;
effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DenyAction Disabled;
effect.defaultValue=DenyAction","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"DenyAction-DiagnosticLogs","Custom","Indexed","DenyAction implementation on Diagnostic Logs.","DenyAction implementation on Diagnostic Logs.","","field=type;
equals=Microsoft.Insights/diagnosticSettings","field=type;
equals=Microsoft.Insights/diagnosticSettings"
"Deploy-ASC-SecurityContacts","Custom","All","Deploy Microsoft Defender for Cloud Security Contacts","Deploy Microsoft Defender for Cloud Security Contacts","emailSecurityContact.type=String;
emailSecurityContact.metadata.displayName=Security contacts email address;
emailSecurityContact.metadata.description=Provide email addresses (semi-colon separated) for Defender for Cloud contact details;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
minimalSeverity.type=String;
minimalSeverity.defaultValue=High;
minimalSeverity.allowedValues=High Medium Low;
minimalSeverity.metadata.displayName=Minimal severity;
minimalSeverity.metadata.description=Defines the minimal alert severity which will be sent as email notifications","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Deploy-Budget","Custom","All","Deploy a default budget on all subscriptions under the assigned scope","Deploy a default budget on all subscriptions under the assigned scope","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists AuditIfNotExists Disabled;
effect.metadata.description=Enable or disable the execution of the policy;
budgetName.type=String;
budgetName.defaultValue=budget-set-by-policy;
budgetName.metadata.description=The name for the budget to be created;
amount.type=String;
amount.defaultValue=1000;
amount.metadata.description=The total amount of cost or usage to track with the budget;
timeGrain.type=String;
timeGrain.defaultValue=Monthly;
timeGrain.allowedValues=Monthly Quarterly Annually BillingMonth BillingQuarter BillingAnnual;
timeGrain.metadata.description=The time covered by a budget. Tracking of the amount will be reset based on the time grain.;
firstThreshold.type=String;
firstThreshold.defaultValue=90;
firstThreshold.metadata.description=Threshold value associated with a notification. Notification is sent when the cost exceeded the threshold. It is always percent and has to be between 0 and 1000.;
secondThreshold.type=String;
secondThreshold.defaultValue=100;
secondThreshold.metadata.description=Threshold value associated with a notification. Notification is sent when the cost exceeded the threshold. It is always percent and has to be between 0 and 1000.;
contactRoles.type=Array;
contactRoles.defaultValue=Owner Contributor;
contactRoles.metadata.description=The list of contact RBAC roles, in an array, to send the budget notification to when the threshold is exceeded.;
contactEmails.type=Array;
contactEmails.defaultValue=;
contactEmails.metadata.description=The list of email addresses, in an array, to send the budget notification to when the threshold is exceeded.;
contactGroups.type=Array;
contactGroups.defaultValue=;
contactGroups.metadata.description=The list of action groups, in an array, to send the budget notification to when the threshold is exceeded. It accepts array of strings.","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Deploy-Custom-Route-Table","Custom","Indexed","Deploy a route table with specific user defined routes","Deploys a route table with specific user defined routes when one does not exist. The route table deployed by the policy must be manually associated to subnet(s)","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
requiredRoutes.type=Array;
requiredRoutes.metadata.displayName=requiredRoutes;
requiredRoutes.metadata.description=Routes that must exist in compliant route tables deployed by this policy;
vnetRegion.type=String;
vnetRegion.metadata.displayName=vnetRegion;
vnetRegion.metadata.description=Only VNets in this region will be evaluated against this policy;
routeTableName.type=String;
routeTableName.metadata.displayName=routeTableName;
routeTableName.metadata.description=Name of the route table automatically deployed by this policy;
disableBgpPropagation.type=Boolean;
disableBgpPropagation.metadata.displayName=DisableBgpPropagation;
disableBgpPropagation.metadata.description=Disable BGP Propagation;
disableBgpPropagation.defaultValue=False","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-DDoSProtection","Custom","All","Deploy an Azure DDoS Network Protection","Deploys an Azure DDoS Network Protection","ddosName.type=String;
ddosName.metadata.displayName=ddosName;
ddosName.metadata.description=DDoSVnet;
ddosRegion.type=String;
ddosRegion.metadata.displayName=ddosRegion;
ddosRegion.metadata.description=DDoSVnet location;
ddosRegion.metadata.strongType=location;
rgName.type=String;
rgName.metadata.displayName=rgName;
rgName.metadata.description=Provide name for resource group.;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Deploy-Diagnostics-AA","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for Automation to Log Analytics workspace","Deploys the diagnostic settings for Automation to stream to a Log Analytics workspace when any Automation which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
metricsEnabled.type=String;
metricsEnabled.defaultValue=True;
metricsEnabled.allowedValues=True False;
metricsEnabled.metadata.displayName=Enable metrics;
metricsEnabled.metadata.description=Whether to enable metrics stream to the Log Analytics workspace - True or False;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.Automation/automationAccounts","field=type;
equals=Microsoft.Automation/automationAccounts"
"Deploy-Diagnostics-ACI","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for Container Instances to Log Analytics workspace","Deploys the diagnostic settings for Container Instances to stream to a Log Analytics workspace when any ACR which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
metricsEnabled.type=String;
metricsEnabled.defaultValue=True;
metricsEnabled.allowedValues=True False;
metricsEnabled.metadata.displayName=Enable metrics;
metricsEnabled.metadata.description=Whether to enable metrics stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.ContainerInstance/containerGroups","field=type;
equals=Microsoft.ContainerInstance/containerGroups"
"Deny-Delete-Load-Balancers","Custom","Indexed","Deny resource deletion for Azure Load Balancers","This policy denies resource deletion for Azure Load Balancers.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Diagnostics-ACR","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for Container Registry to Log Analytics workspace","Deploys the diagnostic settings for Container Registry to stream to a Log Analytics workspace when any ACR which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
metricsEnabled.type=String;
metricsEnabled.defaultValue=True;
metricsEnabled.allowedValues=True False;
metricsEnabled.metadata.displayName=Enable metrics;
metricsEnabled.metadata.description=Whether to enable metrics stream to the Log Analytics workspace - True or False;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.ContainerRegistry/registries","field=type;
equals=Microsoft.ContainerRegistry/registries"
