"Name","DisplayName","Description","PolicyDefinitionId","EnforcementMode","AssignedBy","Scope","NotScopes","Parameters"
"Deploy-vmHybr-Monitoring","Enable Azure Monitor for Hybrid Virtual Machines","Enable Azure Monitor for Hybrid Virtual Machines in the specified scope (Management group, Subscription or resource group).","/providers/Microsoft.Authorization/policySetDefinitions/2b00397d-c309-49c4-aa5a-f0b2c5bc6321","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleVMInsightsResourceId};
enableProcessesAndDependencies.value=True;
effect.value=DeployIfNotExists"
"Deploy-VM-Monitor-24","Enable Azure Monitor for VMs","Enable Azure Monitor for the virtual machines (VMs) in the specified scope (management group, subscription or resource group). Takes Log Analytics workspace as parameter.","/providers/Microsoft.Authorization/policySetDefinitions/924bfe3a-762f-40e7-86dd-5c8b95eb09e6","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleVMInsightsResourceId};
enableProcessesAndDependencies.value=True;
scopeToSupportedImages.value=False;
bringYourOwnUserAssignedManagedIdentity.value=True;
restrictBringYourOwnUserAssignedIdentityToSubscription.value=False;
userAssignedIdentityResourceId.value=${userAssignedManagedIdentityResourceId};
effect.value=DeployIfNotExists"
"Deploy-VMSS-Monitor-24","Enable Azure Monitor for Virtual Machine Scale Sets","Enable Azure Monitor for the Virtual Machine Scale Sets in the specified scope (Management group, Subscription or resource group). Takes Log Analytics workspace as parameter. Note: if your scale set upgradePolicy is set to Manual, you need to apply the extension to the all VMs in the set by calling upgrade on them. In CLI this would be az vmss update-instances.","/providers/Microsoft.Authorization/policySetDefinitions/f5bf694c-cca7-4033-b883-3a23327d5485","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleVMInsightsResourceId};
enableProcessesAndDependencies.value=True;
scopeToSupportedImages.value=False;
bringYourOwnUserAssignedManagedIdentity.value=True;
restrictBringYourOwnUserAssignedIdentityToSubscription.value=False;
userAssignedIdentityResourceId.value=${userAssignedManagedIdentityResourceId};
effect.value=DeployIfNotExists"
"Deploy-MDFC-DefSQL-AMA","Enable Defender for SQL on SQL VMs and Arc-enabled SQL Servers","Microsoft Defender for SQL collects events from the agents and uses them to provide security alerts and tailored hardening tasks (recommendations).","/providers/Microsoft.Authorization/policySetDefinitions/de01d381-bae9-4670-8870-786f89f49e26","Default","","*"," ","userWorkspaceResourceId.value=/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/alz-logging/providers/Microsoft.OperationalInsights/workspaces/${topLevelManagementGroupPrefix}-la;
dcrResourceId.value=${dataCollectionRuleMDFCSQLResourceId};
bringYourOwnUserAssignedManagedIdentity.value=True;
bringYourOwnDcr.value=True;
userAssignedIdentityResourceId.value=${dataCollectionRuleMDFCSQLResourceId}"
"Enforce-GR-KeyVault","Enforce recommended guardrails for Azure Key Vault","This initiative assignment enables recommended ALZ guardrails for Azure Key Vault.","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policySetDefinitions/Enforce-Guardrails-KeyVault","Default","","*"," ","secretsValidPeriod.value=Audit"
"Enforce-ASR","Enforce enhanced recovery and backup policies","This initiative assignment enables recommended ALZ guardrails for Azure Recovery Services.","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policySetDefinitions/Enforce-Backup","Default","","*"," ",""
"Enable-AUM-CheckUpdates","Configure periodic checking for missing system updates on azure virtual machines and Arc-enabled virtual machines.","Configure auto-assessment (every 24 hours) for OS updates. You can control the scope of assignment according to machine subscription, resource group, location or tag. Learn more about this for Windows: https://aka.ms/computevm-windowspatchassessmentmode, for Linux: https://aka.ms/computevm-linuxpatchassessmentmode.","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policySetDefinitions/Deploy-AUM-CheckUpdates","Default","","*"," ","assessmentMode.value=AutomaticByPlatform"
"Audit-AppGW-WAF","Web Application Firewall (WAF) should be enabled for Application Gateway","Assign the WAF should be enabled for Application Gateway audit policy.","/providers/Microsoft.Authorization/policyDefinitions/564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Default","","*"," ","effect.value=Audit"
"Deny-Resource-Locations","Limit allowed locations for Resources","Specifies the allowed locations (regions) where Resources can be deployed.","/providers/Microsoft.Authorization/policyDefinitions/e56962a6-4747-49cd-b67b-bf8b01975c4c","Default","","*"," ","listOfAllowedLocations.value=uksouth ukwest"
"Deny-RSG-Locations","Limit allowed locations for Resource Groups","Specifies the allowed locations (regions) where Resource Groups can be deployed.","/providers/Microsoft.Authorization/policyDefinitions/e765b5de-1225-4ba3-bd56-1ac6695af988","Default","","*"," ","listOfAllowedLocations.value=uksouth ukwest"
"Deploy-SQL-Security","Deploy-SQL-Security","Deploy-SQL-Security.","/providers/Microsoft.Authorization/policyDefinitions/86a912f6-9a06-4e26-b447-11b16ba8659f","Default","","*"," ","effect.value=DeployIfNotExists"
