"ruleCollectionGroup","ruleCollectionGroupPriority","ruleCollection","ruleType","name","description","protocols","sourceAddresses","sourceIpGroups","fqdnTags","destinationAddresses","targetFqdns","webCategories","targetUrls","ipProtocols","destinationIpGroups","destinationFqdns","destinationPorts"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azCloud.AustraliaEast","Allow traffic from the AzureSupernet to the Azure Management Control Plane.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","AzureCloud.AustraliaEast","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-microsoftEntra","Allow traffic from the AzureSupernet to the Microsoft Entra service.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","AzureActiveDirectory","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azMonitor","Allow traffic from the AzureSupernet to the Azure Monitor service.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","AzureMonitor","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-microsoftDefenderForEndpoint","Allow traffic from the AzureSupernet to the Microsoft Defender For Endpoint service.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","MicrosoftDefenderForEndpoint","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azArcInfrastructure","Allow traffic from the AzureSupernet to the Azure Arc service","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","AzureArcInfrastructure","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azServiceBus","Allow traffic from the AzureSupernet to the Azure ServiceBus service","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","ServiceBus","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-powerBi","Allow traffic from the AzureSupernet to the PowerBi service","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","PowerBI","","","","TCP",,"","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azSuperNet","Allow traffic from the AzureSupernet to itself for ICMP network validation.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","","","","","ICMP","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","*"
"platformRuleCollectionGroup","100","platform_core_network","NetworkRule","FROM-azSuperNet-TO-azKMS","Allow traffic from AzureSupernet to the Azure KMS Service for activation of Windows OS.","","","ipg-azureSupernet (10.204.0.0/23, 10.204.2.0/23, 10.204.4.0/23)","","","","","","TCP",,"kms.core.windows.net, azkms.core.windows.net","1688"
"platformRuleCollectionGroup","100","platform_externalWeb_application","ApplicationRule","FROM-azure-TO-internet","Allow traffic from various Azure locations to the Internet.","Http:80, Https:443","","ipg-azurePlatMgmtJumpHost (10.204.2.0/24)","","","*","","","","","",""
"platformRuleCollectionGroup","100","platform_remoteAccess_network","NetworkRule","FROM-azureBastion-TO-azurePlatMgmtJumpHosts","Allow traffic from the Azure Bastion Service to the Platform Management Landing Zone Jumphosts for RDP and SSH access.","","","ipg-azureBastion (10.204.3.32/27)","","","","","","TCP, UDP","ipg-azurePlatMgmtJumpHost (10.204.2.0/24)","","3389, 22"
